Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
ConocoPhillips Canada Resources Corp.,Elmworth Comp Station D-039-G,"15,942 ",0 ,0 ,255 ,"3,254 ",0 ,0 ,0 ,0 ,"19,451 "
ConocoPhillips Canada Resources Corp.,Hiding Comp Station B-053-A,"17,747 ",0 ,0 ,276 ,"3,432 ",0 ,0 ,0 ,0 ,"21,455 "
ConocoPhillips Canada Resources Corp.,Noel Sweet Gas Plant,"47,592 ",0 ,0 ,61 ,"10,670 ",0 ,0 ,0 ,0 ,"58,323 "
ConocoPhillips Canada Resources Corp.,Ring Border Sweet Gas Plant,"13,151 ",0 ,"3,728 ",123 ,"7,641 ",0 ,0 ,0 ,0 ,"24,642 "
ConocoPhillips Canada Resources Corp.,South Grizzly Comp Station C-097-J,"8,814 ",0 ,32 ,242 ,"1,134 ",0 ,0 ,0 ,0 ,"10,223 "
ConocoPhillips Canada Resources Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","135,525 ",0 ,"5,391 ","85,894 ","89,268 ",0 ,0 ,0 ,0 ,"316,078 "
Crew Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","19,656 ",0 ,"1,946 ","9,036 ","7,268 ",0 ,0 ,0 ,0 ,"37,906 "
Devon Canada Corporation,Arl Komie C-100-G/094-O-08,"12,096 ",0 ,988 ,120 ,"1,519 ",0 ,0 ,0 ,0 ,"14,723 "
Devon Canada Corporation,Martin Birley A-048,"9,418 ",0 ,12 ,"2,382 ","2,399 ",0 ,0 ,0 ,0 ,"14,211 "
Devon Canada Corporation,Martin Creek A-033,"11,133 ",0 ,20 ,"1,705 ","2,351 ",0 ,0 ,0 ,0 ,"15,210 "
Devon Canada Corporation,Tommy Lakes C-019,"16,925 ",0 ,554 ,624 ,"2,082 ",0 ,0 ,0 ,0 ,"20,184 "
Devon Canada Corporation,Wargen D-056,"17,933 ",0 ,31 ,600 ,"2,721 ",0 ,0 ,0 ,0 ,"21,285 "
Devon Canada Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)","95,725 ",0 ,"9,482 ","31,806 ","22,726 ",0 ,0 ,0 ,0 ,"159,738 "
Domtar Inc.,Kamloops Mill,"200,584 ",0 ,0 ,0 ,0 ,"2,996 ",0 ,620 ,0 ,"204,200 "
Dunkley Lumber Ltd.,Dunkley Lumber Facility,"12,221 ",0 ,0 ,0 ,0 ,"1,678 ",0 ,0 ,0 ,"13,900 "
EnCana Corporation,Cabin Comp Stn A-052-J,"20,091 ",0 ,35 ,338 ,"2,350 ",0 ,0 ,0 ,0 ,"22,814 "
EnCana Corporation,Cutbank Comp Stn A-038-I,"18,644 ",0 ,55 ,"4,120 ","2,968 ",0 ,0 ,0 ,0 ,"25,786 "
EnCana Corporation,Cutbank Comp Stn A-062-I,"8,798 ",0 ,42 ,"2,307 ",208 ,0 ,0 ,0 ,0 ,"11,356 "
EnCana Corporation,Cutbank Comp Stn B-100-B,"17,643 ",0 ,5 ,"1,422 ","2,482 ",0 ,0 ,0 ,0 ,"21,552 "
EnCana Corporation,Cutbank Comp Stn C-029-A,"8,730 ",0 ,120 ,"2,878 ","2,581 ",0 ,0 ,0 ,0 ,"14,309 "
EnCana Corporation,Dawson Creek Comp Stn 09-15,"19,256 ",0 ,12 ,"1,893 ",108 ,0 ,0 ,0 ,0 ,"21,269 "
EnCana Corporation,Elleh Sweet Gas Plant,"28,337 ",0 ,163 ,114 ,"2,315 ",0 ,0 ,0 ,0 ,"30,929 "
EnCana Corporation,Gunnell Comp Stn B-023-F,"44,461 ",0 ,52 ,"6,906 ","5,843 ",0 ,0 ,0 ,0 ,"57,262 "
EnCana Corporation,Helmet Comp Stn A-041-F,"8,708 ",0 ,0 ,758 ,933 ,0 ,0 ,0 ,0 ,"10,399 "
EnCana Corporation,Horn River Comp Stn C-067-K,"26,392 ",0 ,"1,560 ",742 ,"3,349 ",0 ,0 ,0 ,0 ,"32,043 "
EnCana Corporation,Hythe Comp Stn A-005-G,"31,007 ",0 ,17 ,"1,554 ","4,343 ",0 ,0 ,0 ,0 ,"36,921 "
EnCana Corporation,Hythe Comp Stn A-029-H,"20,392 ",0 ,4 ,"1,806 ","2,581 ",0 ,0 ,0 ,0 ,"24,782 "
EnCana Corporation,Hythe Comp Stn D-019-H,"20,171 ",0 ,8 ,"1,737 ",875 ,0 ,0 ,0 ,0 ,"22,791 "
EnCana Corporation,Hythe Comp Stn D-033-I,"29,729 ",0 ,10 ,"1,554 ","3,761 ",0 ,0 ,0 ,0 ,"35,053 "
EnCana Corporation,Kelly Comp Stn c-027-B,"14,880 ",0 ,35 ,25 ,"1,558 ",0 ,0 ,0 ,0 ,"16,497 "
EnCana Corporation,Midway Comp Stn B-065-B,"14,439 ",0 ,8 ,287 ,"2,149 ",0 ,0 ,0 ,0 ,"16,883 "
EnCana Corporation,Sextet Comp Stn B-067-J,"6,490 ",0 ,18 ,"4,170 ","1,400 ",0 ,0 ,0 ,0 ,"12,079 "
EnCana Corporation,Sierra Sour Gas Plant,"96,412 ",0 ,124 ,"39,451 ","8,146 ",0 ,0 ,0 ,0 ,"144,132 "
EnCana Corporation,Steeprock Sour Gas Plant,"51,706 ",0 ,"6,237 ","19,431 ",876 ,0 ,0 ,0 ,0 ,"78,250 "
EnCana Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)","222,816 ",0 ,"58,358 ","124,015 ","57,037 ",0 ,0 ,0 ,0 ,"462,226 "
Enerplus Corporation,East Tommy Lakes Comp Station D-037-I,"9,234 ",0 ,632 ,8 ,844 ,0 ,0 ,0 ,0 ,"10,718 "
Enerplus Corporation,West Tommy Lakes Booster Station 1 C-028-K,"14,182 ",0 ,0 ,"3,007 ","1,179 ",0 ,0 ,0 ,0 ,"18,368 "
Enerplus Corporation,West Tommy Lakes Booster Station 2 C-030-J,"9,177 ",0 ,0 ,"2,030 ",804 ,0 ,0 ,0 ,0 ,"12,011 "
Enerplus Corporation,West Tommy Lakes Comp Station 3 A-029-I,"12,739 ",0 ,"1,781 ",27 ,850 ,0 ,0 ,0 ,0 ,"15,398 "
Enerplus Corporation,"BC Aggregated Facilities (E < 10,000 tCO2e each)",72 ,0 ,0 ,"1,999 ","3,548 ",0 ,0 ,0 ,0 ,"5,619 "
EOG Resources Canada Inc.,Maxhamish Comp Stn D-036-I,"16,423 ",0 ,930 ,"6,405 ","4,703 ",0 ,0 ,0 ,0 ,"28,460 "
EOG Resources Canada Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","27,620 ",0 ,"9,176 ","1,083 ","1,557 ",0 ,0 ,0 ,0 ,"39,436 "
ExxonMobil Canada Ltd.,Sierra Dehy Plant (BC BT 0000301),"66,694 ",0 ,"1,669 ",2 ,"2,566 ",0 ,0 ,0 ,0 ,"70,930 "
ExxonMobil Canada Ltd.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","2,671 ",0 ,130 ,0 ,"1,084 ",0 ,0 ,0 ,0 ,"3,885 "
FMC of Canada Ltd.,FMC of Canada Facility,"16,058 ",0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,"16,061 "
FortisBC Energy (Vancouver Island) Inc.,"V1 Compressor Station, Eagle Mountain","33,050 ",0 ,0 ,"1,654 ",426 ,0 ,0 ,0 ,0 ,"35,130 "
FortisBC Energy (Vancouver Island) Inc.,V4 Texada Compressor Station,"9,802 ",0 ,0 ,746 ,150 ,0 ,0 ,0 ,0 ,"10,698 "
FortisBC Energy (Vancouver Island) Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","8,689 ",0 ,0 ,"2,034 ","7,497 ",0 ,0 ,0 ,0 ,"18,220 "
FortisBC Energy Inc.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","13,960 ",0 ,1 ,"13,532 ","62,451 ",0 ,0 ,0 ,0 ,"89,945 "
Gibraltar Mines Ltd.,Gibraltar Mine,"6,430 ",0 ,0 ,0 ,0 ,"43,519 ",0 ,0 ,0 ,"49,949 "
Graymont Western Canada Inc.,Pavilion Plant,0 ,0 ,0 ,0 ,0 ,690 ,"7,599 ",0 ,"113,356 ","121,646 "
Greater Vancouver Regional District,Annacis Island Wastewater Treatment Plant,"11,460 ",0 ,0 ,0 ,0 ,0 ,"6,684 ",0 ,0 ,"18,144 "
Greater Vancouver Regional District,Iona Island Wastewater Treatment Plant,"8,820 ",0 ,0 ,0 ,0 ,0 ,"2,017 ",0 ,0 ,"10,837 "
Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,"310,873 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"310,873 "
Harvest Operations Corp.,Hay Oil Battery,"5,160 ",0 ,"4,838 ","3,031 ","1,636 ",0 ,0 ,0 ,0 ,"14,664 "
Harvest Operations Corp.,"BC Aggregated Facilities (E < 10,000 tCO2e each)","7,094 ",0 ,"2,667 ","2,724 ","6,221 ",0 ,2 ,0 ,0 ,"18,707 "
Houweling Nurseries Ltd.,Delta Facility,"11,886 ",0 ,0 ,0 ,0 ,738 ,0 ,0 ,0 ,"12,624 "
Howe Sound Pulp & Paper Corporation,Howe Sound Pulp and Paper Mill,"53,783 ","2,123 ",0 ,0 ,0 ,"2,525 ","51,604 ",94 ,0 ,"110,129 "
Husky Oil Operations Limited,Bivouac B-099-H/094-I-08,"17,795 ",0 ,198 ,27 ,"2,473 ",0 ,0 ,0 ,0 ,"20,493 "
Husky Oil Operations Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)","23,631 ",0 ,"16,511 ","35,251 ","15,498 ",0 ,0 ,0 ,0 ,"90,891 "
Husky Oil Operations Limited,Prince George Refinery,"85,139 ","34,827 ","2,839 ","3,598 ","1,494 ",84 ,0 ,0 ,0 ,"127,980 "
Imperial Metals Corporation,Mount Polley Mine,866 ,0 ,0 ,0 ,0 ,"42,386 ",70 ,0 ,0 ,"43,323 "
Imperial Oil Resources,Boundary Lake Gas Plant (BC GP 0045),"9,853 ",0 ,"1,076 ",38 ,"1,762 ",0 ,0 ,0 ,0 ,"12,730 "
Imperial Oil Resources,"BC Aggregated Facilities (E < 10,000 tCO2e each)","15,998 ",0 ,"10,053 ",26 ,"4,524 ",0 ,13 ,0 ,0 ,"30,614 "
ISH Energy Ltd.,Desan Facility,"6,761 ",0 ,0 ,0 ,0 ,0 ,"2,107 ",0 ,0 ,"8,868 "
Keyera Corp.,BC Linear Facilities Operation (LFO),"44,621 ",0 ,"6,423 ",159 ,"3,391 ",0 ,14 ,0 ,0 ,"54,609 "
