Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,5470,8141,-8141,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,4555,7226,-7226,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,4468,7139,-7139,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,395408,398079,-398079,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,38365,41036,-41036,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,3647,6318,-6318,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,31913,34584,-34584,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,31854,34525,-34525,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,30967,33638,-33638,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,28298,30969,-30969,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,26002,28673,-28673,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,25308,27979,-27979,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,23872,26543,-26543,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,23653,26324,-26324,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,2134,4805,-4805,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,190791,193462,-193462,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,17131,19802,-19802,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,15193,17864,-17864,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,14956,17627,-17627,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,12211,14882,-14882,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,120096,122767,-122767,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,11736,14407,-14407,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,11635,14306,-14306,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,11310,13981,-13981,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,110979,113650,-113650,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,10028,12699,-12699,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,#VALUE!, -   ,#VALUE!,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,#VALUE!, -   ,#VALUE!,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,#VALUE!, -   ,#VALUE!,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,#VALUE!, -   ,#VALUE!,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-587,2084,-2084,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-2650,21,-21,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-2610,61,-61,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-2271,400,-400,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-186,2485,-2485,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-1668,1003,-1003,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-1183,1488,-1488,0,-2671
"BC Aggregated Facilities (E < 10,000 tCO2e each)",ExxonMobil Canada Ltd.,2671,-1152,1519,-1519,0,-2671
Murray River Comp Stn C-033-J,Canadian natural Resources Limited,26079,-5378,20701,2618,23319,-2760
Petrobank Monias 8-22-82-20,PetroBakken Energy Ltd.,2821,2126,4947,-4947,0,-2821
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,9873,12699,-12699,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,7079,9905,-9905,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,67524,70350,-70350,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,574,3400,-3400,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,55947,58773,-58773,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,5590,8416,-8416,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,5315,8141,-8141,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,4400,7226,-7226,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,4313,7139,-7139,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,395253,398079,-398079,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,38210,41036,-41036,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,3492,6318,-6318,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,31758,34584,-34584,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,31699,34525,-34525,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,30812,33638,-33638,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,28143,30969,-30969,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,25847,28673,-28673,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,25153,27979,-27979,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,23717,26543,-26543,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,23498,26324,-26324,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,1979,4805,-4805,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,190636,193462,-193462,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,16976,19802,-19802,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,15038,17864,-17864,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,14801,17627,-17627,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,12056,14882,-14882,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,119941,122767,-122767,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,11581,14407,-14407,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,11480,14306,-14306,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,11155,13981,-13981,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,110824,113650,-113650,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,#VALUE!, -   ,#VALUE!,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,#VALUE!, -   ,#VALUE!,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,#VALUE!, -   ,#VALUE!,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,#VALUE!, -   ,#VALUE!,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-742,2084,-2084,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-341,2485,-2485,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-2805,21,-21,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-2765,61,-61,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-2426,400,-400,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-1823,1003,-1003,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-1338,1488,-1488,0,-2826
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Shell Canada Limited,2826,-1307,1519,-1519,0,-2826
Sundown Gas Processing and Production,Shell Canada Limited,12634,-1603,11031,-1280,9751,-2883
Tooga Plant,Spectra Energy Midstream Corporation,24368,1298,25666,-4417,21249,-3119
Cutbank Comp Stn A-038-I,EnCana Corporation,18644,-289,18355,-2909,15446,-3198
Martin Creek A-033,Devon Canada Corporation,11133,-3268,7865,57,7922,-3211
Hiding Comp Station B-053-A,ConocoPhillips Canada Resources Corp.,17747,2169,19916,-5513,14403,-3344
Doig River Comp Stn C-073-I,Lone Pine Resources Canada Ltd.,3417,-3417,0,0,0,-3417
Martin Creek Sour Gas Plant B-002-E,NuVista Energy Ltd.,18491,-2307,16184,-1173,15011,-3480
Cutbank Comp Stn B-100-B,EnCana Corporation,17643,1101,18744,-4691,14053,-3590
Cutbank Comp Stn C-029-A,EnCana Corporation,8730,190,8920,-4132,4788,-3942
Brassey Gas Processing and Production,Shell Canada Limited,25633,-3741,21892,-245,21647,-3986
July Lake Comp Stn A-071-G,Canadian natural Resources Limited,20720,-1530,19190,-3116,16074,-4646
Parkland Gas Plant 03-09,ARC Resources,5082,-5082,0,0,0,-5082
Elleh Sweet Gas Plant,EnCana Corporation,28337,-1831,26506,-3287,23219,-5118
Midway Comp Stn B-065-B,EnCana Corporation,14439,1853,16292,-7054,9238,-5201
Kitimat Works,Rio Tinto Alcan,43220,-3014,40206,-2252,37954,-5266
Brassey Comp Station D-013-F,ConocoPhillips Canada Resources Corp.,17924,1074,18998,-6379,12619,-5305
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,9424,14882,-14882,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,8949,14407,-14407,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,8848,14306,-14306,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,860,6318,-6318,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,8523,13981,-13981,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,7241,12699,-12699,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,64892,70350,-70350,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,53315,58773,-58773,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,4447,9905,-9905,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,392621,398079,-398079,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,35578,41036,-41036,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,2958,8416,-8416,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,29126,34584,-34584,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,29067,34525,-34525,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,28180,33638,-33638,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,2683,8141,-8141,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,25511,30969,-30969,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,23215,28673,-28673,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,22521,27979,-27979,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,21085,26543,-26543,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,20866,26324,-26324,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,188004,193462,-193462,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,1768,7226,-7226,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,1681,7139,-7139,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,14344,19802,-19802,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,12406,17864,-17864,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,12169,17627,-17627,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,117309,122767,-122767,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,108192,113650,-113650,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,#VALUE!, -   ,#VALUE!,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,#VALUE!, -   ,#VALUE!,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,#VALUE!, -   ,#VALUE!,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,#VALUE!, -   ,#VALUE!,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-653,4805,-4805,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-5437,21,-21,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-5397,61,-61,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-5058,400,-400,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-4455,1003,-1003,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-3970,1488,-1488,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-3939,1519,-1519,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-3374,2084,-2084,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-2973,2485,-2485,0,-5458
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Lone Pine Resources Canada Ltd.,5458,-2058,3400,-3400,0,-5458
Plateau Sawmill,Canadian Forest Products Ltd.,5633,465,6098,-6098,0,-5633
Bivouac B-099-H/094-I-08,Husky Oil Operations Limited,17795,-4074,13721,-1584,12137,-5658
Pickell Facility,Central Global Resources ULC,5761,967,6728,-6728,0,-5761
Peggo Plant,Spectra Energy Midstream Corporation,18505,553,19058,-6361,12697,-5808
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,8998,14882,-14882,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,8523,14407,-14407,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,8422,14306,-14306,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,8097,13981,-13981,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,6815,12699,-12699,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,64466,70350,-70350,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,52889,58773,-58773,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,434,6318,-6318,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,4021,9905,-9905,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,392195,398079,-398079,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,35152,41036,-41036,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,28700,34584,-34584,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,28641,34525,-34525,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,27754,33638,-33638,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,2532,8416,-8416,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,25085,30969,-30969,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,22789,28673,-28673,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,2257,8141,-8141,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,22095,27979,-27979,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,20659,26543,-26543,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,20440,26324,-26324,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,187578,193462,-193462,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,13918,19802,-19802,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,1342,7226,-7226,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,1255,7139,-7139,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,11980,17864,-17864,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,11743,17627,-17627,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,116883,122767,-122767,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,107766,113650,-113650,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,#VALUE!, -   ,#VALUE!,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,#VALUE!, -   ,#VALUE!,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,#VALUE!, -   ,#VALUE!,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,#VALUE!, -   ,#VALUE!,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-5863,21,-21,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-5823,61,-61,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-5484,400,-400,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-4881,1003,-1003,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-4396,1488,-1488,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-4365,1519,-1519,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-3800,2084,-2084,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-3399,2485,-2485,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-2484,3400,-3400,0,-5884
"BC Aggregated Facilities (E < 10,000 tCO2e each)",NuVista Energy Ltd.,5884,-1079,4805,-4805,0,-5884
"V1 Compressor Station, Eagle Mountain",FortisBC Energy (Vancouver Island) Inc.,33050,-5971,27079,-480,26599,-6451
Sextet Comp Stn B-067-J,EnCana Corporation,6490,-6490,0,0,0,-6490
Desan Facility,ISH Energy Ltd.,6761,-6761,0,0,0,-6761
Elkview Operations,Teck Coal Limited,82885,-13226,69659,6374,76033,-6852
Boundary Lake Gas Battery (07-32-084-14W6M),Suncor Energy Inc.,6979,-6979,0,0,0,-6979
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,7788,14882,-14882,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,7313,14407,-14407,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,7212,14306,-14306,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,6887,13981,-13981,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,63256,70350,-70350,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,5605,12699,-12699,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,51679,58773,-58773,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,45,7139,-7139,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,390985,398079,-398079,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,33942,41036,-41036,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,2811,9905,-9905,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,27490,34584,-34584,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,27431,34525,-34525,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,26544,33638,-33638,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,23875,30969,-30969,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,21579,28673,-28673,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,20885,27979,-27979,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,19449,26543,-26543,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,19230,26324,-26324,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,186368,193462,-193462,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,1322,8416,-8416,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,132,7226,-7226,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,12708,19802,-19802,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,115673,122767,-122767,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,10770,17864,-17864,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,106556,113650,-113650,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,10533,17627,-17627,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,1047,8141,-8141,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,#VALUE!, -   ,#VALUE!,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,#VALUE!, -   ,#VALUE!,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,#VALUE!, -   ,#VALUE!,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,#VALUE!, -   ,#VALUE!,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-776,6318,-6318,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-7073,21,-21,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-7033,61,-61,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-6694,400,-400,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-6091,1003,-1003,0,-7094
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Harvest Operations Corp.,7094,-5606,1488,-1488,0,-7094
