Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
Dawson Comp Stn 01-34,ARC Resources,8622,6896,15518,874,16392,7770
BCBT00002487 (Firebird ),0,0,0,0,7411,7411,7411
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,7197,7197,7197
Umback D-36,0,0,7990,7990,-797,7193,7193
Hythe Comp Stn A-005-G,EnCana Corporation,31007,14933,45940,-7817,38123,7116
Dunkley Lumber Facility,Dunkley Lumber Ltd.,12221,5876,18097,914,19011,6790
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,6746,6746,6746
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,6724,6724,6724
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,6377,6377,6377
Noel 7729,0,0,7523,7523,-1192,6331,6331
Hay Oil Battery,Harvest Operations Corp.,5160,4213,9373,1609,10982,5822
Taylor Compressor Station,Alliance Pipeline Ltd.,17936,5011,22947,-116,22831,4895
Vancouver Wallboard Plant,CertainTeed Gypsum Canada Inc.,19893,-2092,17801,6912,24713,4820
Booster Station 19 - Cabin Lake,Spectra Energy Transmission,37623,3456,41079,844,41923,4300
Younger NGL Extraction Plant,0,0,0,0,4284,4284,4284
Canfor Taylor Pulp,Canadian Forest Products Ltd.,59507,930,60437,3288,63725,4218
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,4176,4176,4176
Quesnel River Pulp,West Fraser Mills Ltd.,48731,5863,54594,-2085,52509,3778
Zellstoff Celgar Facility,Zellstoff Celgar Limited Partnership,26209,1324,27533,2380,29913,3704
Moly-Cop Canada Facility,Moly-Cop Canada,12796,1336,14132,2082,16214,3418
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,3344,3344,3344
CIPA Lumber Facility,CIPA Lumber Co. Ltd.,23198,2741,25939,219,26158,2960
Cutbank Comp Stn D-073-B,0,0,4027,4027,-1087,2940,2940
An0cis Island Wastewater Treatment Plant,Greater Vancouver Regional District,11460,4086,15546,-1269,14277,2817
Jedney II Gas Plant,Spectra Energy Midstream Corporation,48732,259,48991,2550,51541,2809
Dawson Creek Comp Stn 09-15,EnCana Corporation,19256,97,19353,2519,21872,2616
Perry Creek Mine,Western Coal Corp.,90,5178,5268,-2612,2656,2566
Bubbles D-47-A/94-G-8,0,0,0,0,2556,2556,2556
Conifex Inc. Facility,Conifex Inc.,8801,0,8801,2482,11283,2482
Endako Mine,Thompson Creek Mining Ltd.,5099,1081,6180,1256,7436,2337
Io0 Island Wastewater Treatment Plant,Greater Vancouver Regional District,8820,-912,7908,3166,11074,2254
Line Creek Operations,Teck Coal Limited,27155,2134,29289,45,29334,2179
Prince George Refinery,Husky Oil Operations Limited,85139,-2866,82273,5001,87274,2135
Delta Facility,Houweling Nurseries Ltd.,11886,2328,14214,-196,14018,2132
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,1946,1946,1946
Princeton Sawmill,Weyerhaeuser Company Limited,15827,#VALUE!, -   ,#VALUE!,17700,1873
New Afton Mine,0,0,0,0,1778,1778,1778
Stoddart 02-34 Sour Gas Plant,Canadian natural Resources Limited,57894,1022,58916,711,59627,1733
Conroy D-80-F/94-H-12,0,0,0,0,1666,1666,1666
Lavington Planer Mill,Tolko Industries Ltd.,13752,1467,15219,140,15359,1607
Canadian Autoparts Toyota Facility,Canadian Autoparts Toyota Inc.,16486,-1552,14934,2986,17920,1434
Booster Station 3 - Kobes Creek,Spectra Energy Transmission,20109,1989,22098,-618,21480,1371
Tree Island Industries Facility,Tree Island Industries Ltd.,9700,1314,11014,0,11014,1314
Highway Gas Plant,Spectra Energy Midstream Corporation,44283,-3455,40828,4706,45534,1251
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,1161,1161,1161
Delta I Facility,Village Farms Canada L.P.,21571,1198,22769,-43,22726,1155
An0cis Division,Coastland Wood Industries Ltd.,13422,-372,13050,1494,14544,1122
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,1062,1062,1062
Pine River Gas Plant,Spectra Energy Transmission,248112,1378,249490,-332,249158,1046
Gibraltar Mine,Gibraltar Mines Ltd.,6430,367,6797,629,7426,996
Bubbles C-79-A/94-G-8,Progress Energy Resources Corp.,10224,-265,9959,1052,11011,787
Elko Sawmill,Tembec,16138,-1740,14398,2488,16886,748
Mount Polley Mine,Imperial Metals Corporation,866,656,1522,-9,1513,647
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,559,559,559
Kwoen Gas Plant,Spectra Energy Transmission,5177,80,5257,273,5530,353
Tommy Lakes C-019,Devon Canada Corporation,16925,-1601,15324,1932,17256,331
Trend Mine,Peace River Coal Inc.,1287,-1287,0,1557,1557,270
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,260,260,260
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,89,89,89
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,78,78,78
Masset Diesel Generating Station,British Columbia Hydro and Power Authority,19219,92,19311,-27,19284,65
Arl Komie C-100-G/094-O-08,Devon Canada Corporation,12096,-1077,11019,1139,12158,62
Vancouver Landfill,City of Vancouver,47,44,91,1,92,45
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,31,31,31
"BC Aggregated Facilities (E <10,000 tCO2e each)",0,0,0,0,21,21,21
Quinsam Coal Mine,Quinsam Coal Corporation,0,49,49,-39,10,10
Hythe Comp Stn D-019-H,EnCana Corporation,20171,429,20600,-427,20173,2
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,9905,9905,-9905,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,8416,8416,-8416,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,8141,8141,-8141,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,7226,7226,-7226,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,7139,7139,-7139,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,70350,70350,-70350,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,6318,6318,-6318,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,61,61,-61,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,58773,58773,-58773,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,4805,4805,-4805,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,41036,41036,-41036,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,400,400,-400,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,398079,398079,-398079,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,34584,34584,-34584,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,34525,34525,-34525,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,3400,3400,-3400,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,33638,33638,-33638,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,30969,30969,-30969,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,28673,28673,-28673,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,27979,27979,-27979,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,26543,26543,-26543,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,26324,26324,-26324,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,2485,2485,-2485,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,21,21,-21,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,2084,2084,-2084,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,19802,19802,-19802,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,193462,193462,-193462,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,17864,17864,-17864,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,17627,17627,-17627,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,1519,1519,-1519,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,14882,14882,-14882,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,1488,1488,-1488,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,14407,14407,-14407,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,14306,14306,-14306,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,13981,13981,-13981,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,12699,12699,-12699,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,122767,122767,-122767,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,113650,113650,-113650,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,1003,1003,-1003,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,#VALUE!, -   ,#VALUE!,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,#VALUE!, -   ,#VALUE!,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,#VALUE!, -   ,#VALUE!,0,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Aux Sable Canada L.P.,0,#VALUE!, -   ,#VALUE!,0,0
Dillon - Brule Mine,0,0,7112,7112,-7112,0,0
Ft. St. John Gathering Pipeline,0,0,272,272,-272,0,0
Gutah Comp Station A-054-K,0,0,8258,8258,-8258,0,0
IMP PAC Boundary (BC BT 0046),0,0,5405,5405,-5405,0,0
Kelly Comp Stn C-027-B,0,0,15569,15569,-15569,0,0
Laprise Compressor Station COM /B-040-E/094-H-05/ 00,0,0,15344,15344,-15344,0,0
Milligan Comp Stn B-063-G,0,0,7395,7395,-7395,0,0
Noel 7707,0,0,5651,5651,-5651,0,0
Peggo East Comp Stn A-072-C,0,0,7908,7908,-7908,0,0
ProEx West Beg C-34-C/94-G-1,0,0,18274,18274,-18274,0,0
Skookumchick Operation,0,0,25019,25019,-25019,0,0
Stoddart 14-34,0,0,6921,6921,-6921,0,0
Suncor Yoyo Battery (D-8-L/94-I-14),0,0,27218,27218,-27218,0,0
Surrey Gypsum Facility,0,0,14304,14304,-14304,0,0
Mica Generating Station,British Columbia Hydro and Power Authority,2,-2,0,0,0,-2
Nig Creek A-94-B/94-H-4,Bonavista Energy Corporation,10920,-289,10631,266,10897,-23
