Facility,Company.x,Total.Industrial.Process.2010,Total.Flaring.2010,Total.Venting.2010,Total.Fugitive.2010,Total.On.site.Transportation.2010,Total.Waste.2010,Total.Wastewater.2010,Total.untaxed.2010,Total.Industrial.Process.2011,Total.Flaring.2011,Total.Venting.2011,Total.Fugitive.2011,Total.On.site.Transportation.2011,Total.Waste.2011,Total.Wastewater.2011,Total.untaxed.2011,Total.Industrial.Process.2012,Total.Flaring.2012,Total.Venting.2012,Total.Fugitive.2012,Total.On.site.Transportation.2012,Total.Waste.2012,Total.Wastewater.2012,Total.untaxed.2012
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,0,0,162,1762,0,0,0,1924, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
